@relation Exp2a_train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute X numeric
@attribute Y numeric
@attribute class {1,-1}

@data
5.6138,15.739,1
5.7203,13.509,1
4.3085,16.583,1
3.8639,16.755,1
4.7208,14.373,1
3.927,15.721,1
3.1242,14.578,1
4.7504,15.824,1
2.8097,15.064,1
4.4591,14.352,1
3.798,12.872,1
4.1662,15.341,1
4.992,13.191,1
5.393,13.709,1
4.6521,14.124,1
5.1161,14.791,1
3.9127,14.63,1
6.0344,13.716,1
5.0781,16.449,1
6.2478,15.612,1
4.4581,15.195,1
3.3608,15.845,1
5.8206,15.67,1
4.0274,15.584,1
5.474,16.134,1
3.9359,14.156,1
4.6621,15.352,1
6.8564,15.809,1
5.7048,15.635,1
5.565,16.143,1
5.7286,14.17,1
4.1989,14.409,1
6.695,15.665,1
4.5287,14.141,1
4.7292,17.085,1
4.5182,13.642,1
4.8396,14.348,1
4.0685,13.336,1
3.735,14.925,1
4.5288,13.657,1
4.6862,14.653,1
4.7094,16.463,1
4.945,14.671,1
3.8634,14.498,1
4.9411,16.277,1
4.4667,14.843,1
5.7094,13.952,1
3.4224,15.644,1
5.5396,16.364,1
6.0111,14.76,1
5.181,14.081,1
5.2906,13.611,1
4.8774,14.753,1
4.5956,13.668,1
4.4849,14.999,1
3.5064,14.399,1
4.8794,15.476,1
4.3439,15.893,1
5.5034,14.036,1
5.8053,15.216,1
4.3714,15.649,1
4.562,13.851,1
5.39,13.909,1
4.6531,15.535,1
5.3177,16.068,1
4.3274,14.151,1
5.7716,13.174,1
4.3338,15.268,1
3.4366,14.62,1
4.4183,14.884,1
3.8542,14.368,1
4.3802,13.259,1
4.3649,14.125,1
3.1104,16.403,1
5.2701,16.128,1
16.37,4.8623,1
14.993,4.0676,1
15.787,5.0095,1
14.635,5.6504,1
14.93,5.1366,1
15.019,4.4338,1
13.076,4.7043,1
13.347,4.5022,1
13,3.747,1
15.373,4.2918,1
14.751,4.7574,1
13.925,5.2308,1
13.925,5.2309,1
13.362,4.7478,1
14.719,5.2912,1
14.017,3.9607,1
14.348,4.3231,1
14.659,5.152,1
13.917,3.3243,1
15.102,5.1978,1
15.506,5.7839,1
13.922,3.5479,1
16.216,5.9376,1
14.519,6.6419,1
16.688,3.7515,1
15.006,4.0421,1
15.069,4.6014,1
14.709,5.9349,1
15.478,4.7014,1
14.656,4.7451,1
15.81,5.7241,1
14.798,4.962,1
14.816,4.7715,1
14.908,5.9251,1
12.761,5.5817,1
13.496,5.2706,1
15.366,4.5268,1
14.179,5.4685,1
16.712,2.847,1
15.011,4.8256,1
14.129,5.2877,1
15.207,3.6816,1
13.53,6.1958,1
16.011,6.731,1
14.99,4.8166,1
14.858,3.3256,1
14.222,5.2857,1
15.808,5.719,1
15.074,3.1774,1
15.687,4.964,1
15.795,5.6253,1
16.258,5.9161,1
15.238,6.4277,1
15.929,4.0882,1
14.846,5.5203,1
16.93,5.006,1
16.238,6.0762,1
15.515,4.9623,1
15.735,4.56,1
14.198,4.8093,1
14.749,6.2542,1
15.135,4.33,1
16.051,6.0988,1
15.385,6.4252,1
16.191,6.1165,1
14.696,7.237,1
15.652,4.8536,1
13.601,6.022,1
15.067,4.6228,1
14.049,4.7231,1
16.953,6.7946,1
15.86,2.9364,1
14.298,5.6646,1
14.435,4.3682,1
12.673,5.3404,1
3.5656,5.4774,-1
4.2455,5.6115,-1
5.2422,5.06,-1
6.6991,6.8612,-1
5.8799,6.0002,-1
4.9719,3.8055,-1
6.0656,5.7356,-1
3.8932,5.0358,-1
6.1159,3.6255,-1
5.3603,5.7079,-1
4.5139,5.6895,-1
5.8598,4.4527,-1
3.8511,4.2362,-1
5.5072,3.6558,-1
4.3929,6.6226,-1
4.0381,3.3776,-1
5.3417,6.1611,-1
5.8318,5.8166,-1
7.1293,4.3864,-1
5.4206,4.605,-1
4.9467,5.4841,-1
4.7231,3.851,-1
5.0809,3.2528,-1
4.7368,3.9587,-1
4.1716,4.2374,-1
6.032,5.5361,-1
6.5138,5.7782,-1
4.6828,6.8261,-1
4.4582,5.7052,-1
3.3417,4.9545,-1
4.3479,6.4121,-1
5.2868,5.0093,-1
5.1498,5.0154,-1
4.7828,4.0372,-1
7.1999,3.4936,-1
5.3972,4.934,-1
4.0291,5.3601,-1
4.5668,5.8656,-1
5.0639,4.2228,-1
5.8586,3.5377,-1
4.8924,5.2568,-1
3.9911,7.0203,-1
5.6613,3.5931,-1
5.818,4.9616,-1
4.5318,4.969,-1
6.3706,4.0235,-1
6.0077,4.8704,-1
5.7002,5.2073,-1
4.4336,6.4545,-1
4.4326,7.2828,-1
4.4056,4.9929,-1
4.4473,6.2448,-1
6.0279,5.3993,-1
6.4492,5.4528,-1
6.0682,5.872,-1
5.69,5.4169,-1
6.5058,6.1398,-1
5.082,4.3447,-1
4.8725,5.4228,-1
6.4821,2.5023,-1
4.5204,5.4216,-1
6.0561,4.8016,-1
4.4679,5.209,-1
4.2776,5.4891,-1
7.4085,4.6762,-1
4.6671,3.8308,-1
5.0538,4.1643,-1
5.5543,4.8299,-1
6.7583,4.7537,-1
6.7332,3.8313,-1
5.1415,3.9421,-1
